,data,godzina,dom,-,wyjazd,wynik,pusta
292,,,Radomiak Radom,-,Widzew Łódź,-:-,
293,,,Śląsk Wrocław,-,Miedź Legnica,-:-,
294,,,Warta Poznań,-,Piast Gliwice,-:-,
295,,,Wisła Płock,-,Raków Częstochowa,-:-,
296,,,Zagłębie Lubin,-,FKS Stal Mielec,-:-,
297,27/05/2023,,FKS Stal Mielec,-,Warta Poznań,-:-,
298,,,KS Cracovia,-,Wisła Płock,-:-,
299,,,Lech Poznań,-,Jagiellonia Białystok,-:-,
300,,,Legia Warszawa,-,Śląsk Wrocław,-:-,
301,,,Miedź Legnica,-,Górnik Zabrze,-:-,
302,,,Piast Gliwice,-,Lechia Gdańsk,-:-,
303,,,Pogoń Szczecin,-,Radomiak Radom,-:-,
304,,,Raków Częstochowa,-,Zagłębie Lubin,-:-,
305,,,Widzew Łódź,-,Korona Kielce,-:-,
306,27/07/1991,,Olimpia Poznań,-,Śląsk Wrocław,1:1,
307,,,Legia Warszawa,-,Hutnik Kraków,0:2,
308,,,Zagłębie Sosnowiec,-,ŁKS Łódź,0:1,
309,,,Zawisza Bydgoszcz,-,Motor Lublin,0:0,
310,,,Ruch Chorzów,-,GKS Katowice,1:1,
311,,,Stal Stalowa Wola,-,FKS Stal Mielec,1:1,
312,,,Widzew Łódź,-,Igloopol Debica,5:0,
313,,,Wisła Kraków,-,Górnik Zabrze,3:3,
314,,,Zagłębie Lubin,-,Lech Poznań,2:4,
315,03/08/1991,,Śląsk Wrocław,-,Lech Poznań,1:2,
316,,,Górnik Zabrze,-,Zagłębie Lubin,2:0,
317,,,Igloopol Debica,-,Wisła Kraków,0:4,
318,,,FKS Stal Mielec,-,Widzew Łódź,0:1,
319,,,GKS Katowice,-,Stal Stalowa Wola,3:0,
320,,,Motor Lublin,-,Ruch Chorzów,2:1,
321,,,ŁKS Łódź,-,Zawisza Bydgoszcz,3:4,
322,,,Hutnik Kraków,-,Zagłębie Sosnowiec,2:1,
323,,,Olimpia Poznań,-,Legia Warszawa,1:1,
324,10/08/1991,,Legia Warszawa,-,Śląsk Wrocław,0:2,
325,,,Zagłębie Sosnowiec,-,Olimpia Poznań,1:3,
326,,,Zawisza Bydgoszcz,-,Hutnik Kraków,3:1,
327,,,Ruch Chorzów,-,ŁKS Łódź,1:0,
328,,,Stal Stalowa Wola,-,Motor Lublin,0:1,
329,,,Widzew Łódź,-,GKS Katowice,2:0,
330,,,Wisła Kraków,-,FKS Stal Mielec,2:0,
331,,,Zagłębie Lubin,-,Igloopol Debica,2:1,
332,,,Lech Poznań,-,Górnik Zabrze,1:1,
333,17/08/1991,,Śląsk Wrocław,-,Górnik Zabrze,1:2,
334,,,Igloopol Debica,-,Lech Poznań,0:4,
335,,,FKS Stal Mielec,-,Zagłębie Lubin,0:1,
336,,,GKS Katowice,-,Wisła Kraków,0:0,
337,,,Motor Lublin,-,Widzew Łódź,1:2,
338,,,ŁKS Łódź,-,Stal Stalowa Wola,0:0,
339,,,Hutnik Kraków,-,Ruch Chorzów,3:3,
340,,,Olimpia Poznań,-,Zawisza Bydgoszcz,1:0,
341,,,Legia Warszawa,-,Zagłębie Sosnowiec,3:0,
342,24/08/1991,,Zagłębie Sosnowiec,-,Śląsk Wrocław,2:0,
343,,,Zawisza Bydgoszcz,-,Legia Warszawa,2:2,
344,,,Ruch Chorzów,-,Olimpia Poznań,2:1,
345,,,Stal Stalowa Wola,-,Hutnik Kraków,1:1,
346,,,Widzew Łódź,-,ŁKS Łódź,1:1,
347,,,Wisła Kraków,-,Motor Lublin,0:0,
348,,,Zagłębie Lubin,-,GKS Katowice,1:1,
349,,,Lech Poznań,-,FKS Stal Mielec,3:0,
350,,,Górnik Zabrze,-,Igloopol Debica,5:1,
351,28/08/1991,,Śląsk Wrocław,-,Igloopol Debica,3:0,
352,,,FKS Stal Mielec,-,Górnik Zabrze,2:0,
353,,,GKS Katowice,-,Lech Poznań,3:1,
354,,,Motor Lublin,-,Zagłębie Lubin,2:0,
355,,,ŁKS Łódź,-,Wisła Kraków,0:0,
356,,,Hutnik Kraków,-,Widzew Łódź,2:0,
357,,,Olimpia Poznań,-,Stal Stalowa Wola,1:1,
358,,,Legia Warszawa,-,Ruch Chorzów,1:1,
359,,,Zagłębie Sosnowiec,-,Zawisza Bydgoszcz,0:0,
360,31/08/1991,,Zawisza Bydgoszcz,-,Śląsk Wrocław,1:3,
361,,,Ruch Chorzów,-,Zagłębie Sosnowiec,2:1,
362,,,Stal Stalowa Wola,-,Legia Warszawa,0:0,
363,,,Widzew Łódź,-,Olimpia Poznań,3:0,
364,,,Wisła Kraków,-,Hutnik Kraków,1:1,
